episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,reason,proposed_score,selected_score,obstacle_risk,hazard_risk,distance_to_goal
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,72,46,8,3,0,negative_progress,9.238409722485255,4.270620533228297,0.0,0.30656158924102783,6.082762530298219
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,73,46,7,3,6,negative_progress,7.831257576036393,2.866730468947507,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,74,45,6,3,7,negative_progress+loop_prevention,13.348685399905387,6.392879712446342,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,75,44,6,3,0,negative_progress+loop_prevention,14.18568157105947,10.242797753432939,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,76,43,5,3,7,negative_progress,10.680624301384247,8.1440575433446,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,77,43,4,3,6,loop_prevention,13.143927237313576,6.914961938293605,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,78,42,3,3,7,lookahead_safer,211.7601149000587,11.18568157105947,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,79,42,2,3,6,loop_prevention,10.500742908175635,7.1353646183502555,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,80,42,1,3,6,lookahead_safer,208.96061511110005,7.602156333598062,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,81,43,0,3,5,lookahead_safer,209.06622336329573,6.255072940519563,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,82,42,0,3,0,lookahead_safer,210.1037386974192,13.14168804557683,0.0,0.3821907341480255,5.385164807134504
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,83,41,0,3,0,lookahead_safer,206.856534594618,10.137197421426482,0.0,0.2822323739528656,6.324555320336759
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,84,41,1,3,2,loop_prevention,6.479379731914268,5.846378976347738,0.0,0.30656158924102783,6.082762530298219
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,85,41,2,3,2,loop_prevention,7.716649534823082,6.929970316378213,0.0,0.31512877345085144,6.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,86,41,3,3,2,loop_prevention,6.280543120438604,4.270620533228297,0.0,0.30656158924102783,6.082762530298219
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,90,45,6,3,4,negative_progress,8.808766061107258,6.914961938293605,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,92,47,7,3,4,negative_progress,9.348685399905388,7.1353646183502555,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,93,48,7,3,4,negative_progress,9.189741995382347,7.602156333598062,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,94,49,6,3,5,negative_progress,9.148802426981026,6.255072940519563,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,95,49,7,3,2,negative_progress,13.14168804557683,13.14168804557683,0.0,0.3821907341480255,5.385164807134504
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,96,49,8,3,2,negative_progress,10.137197421426482,10.137197421426482,0.0,0.2822323739528656,6.324555320336759
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,97,48,8,3,0,negative_progress,6.5068668081894065,5.846378976347738,0.0,0.30656158924102783,6.082762530298219
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,98,47,8,3,0,negative_progress,9.215830758382104,6.929970316378213,0.0,0.31512877345085144,6.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,99,46,8,3,0,negative_progress,9.238409722485255,4.270620533228297,0.0,0.30656158924102783,6.082762530298219
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,100,46,7,3,6,negative_progress,7.831257576036393,2.866730468947507,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,101,45,6,3,7,negative_progress+loop_prevention,13.348685399905387,6.392879712446342,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,102,44,6,3,0,negative_progress+loop_prevention,14.18568157105947,10.242797753432939,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,103,43,5,3,7,negative_progress,10.680624301384247,8.1440575433446,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,104,43,4,3,6,loop_prevention,13.143927237313576,6.914961938293605,0.0,0.4897933602333069,4.47213595499958
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,105,42,3,3,7,lookahead_safer,211.7601149000587,11.18568157105947,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,106,42,2,3,6,loop_prevention,10.500742908175635,7.1353646183502555,0.0,0.42673805356025696,5.0
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,107,42,1,3,6,lookahead_safer,208.96061511110005,7.602156333598062,0.0,0.4151366353034973,5.0990195135927845
55,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,108,43,0,3,5,lookahead_safer,209.06622336329573,6.255072940519563,0.0,0.4897933602333069,4.47213595499958
